pruning_percent,mmlu_accuracy,gsm8k_accuracy
0,0.0,0.08396946564885496
10,0.0,0.07633587786259542
20,0.0,0.04580152671755725
30,0.0,0.0
40,0.0,0.030534351145038167
50,0.0,0.0
60,0.0,0.007633587786259542
70,0.0,0.007633587786259542
80,0.0,0.007633587786259542
90,0.0,0.007633587786259542
